id,title,year,artist,party
2046341,Sleigh Ride,1948,Christmas Songs,birthday
1264413,Sleigh Ride,1963,The Ronettes,none
45639,Sleigh Ride,1993,TLC,none
1422683,Sleigh Ride,1960,Ella Fitzgerald,none
2131849,"Nantucket Sleighride (Live at the Academy of Music, New York City, NY - December 1971)",1972,Mountain,irrelevant
3343270,Sleigh Ride,2017,Miley Cyrus,none
1846780,Sleigh Ride,2014,Pentatonix,none
9590019,Drop Top Sleigh Ride,2023,Cher,irrelevant
1744225,Sleigh Ride,1978,Carpenters,none
1508177,Sleigh Ride,1958,Johnny Mathis,birthday
6183706,Sleigh Ride,2020,Mariah Carey,none
4756758,Sleigh Ride,2012,Nickelodeon Cast,none
1575549,Sleigh Ride (vocal version),1950,Leroy Anderson,birthday
1248466,Nantucket Sleighride (To Owen Coffin),1971,Mountain,irrelevant
1712769,Sleigh Ride,,Bing Crosby,none
990263,Sleigh Ride,2012,fun.,none
228170,Sleigh Ride,,Neil Diamond,none
1471575,Sleigh Ride,,Fuzz,irrelevant
6105039,Sleigh Ride,2020,Tori Kelly,none
843588,Sleigh Ride,1983,Amy Grant,birthday
1812507,Sleigh Ride (remix),,Jump5,none
766568,Sleigh Ride,,Tamar Braxton,none
1141613,Winter Wonderland / Sleigh Ride,1984,Dolly Parton,none
789628,Sleigh Ride,1988,Alexander O’Neal,irrelevant
1561279,Sleigh Ride,1996,Spice Girls,none
1368981,Sleigh Ride,2007,Relient K,none
856283,Sleigh Ride,1965,Andy Williams,birthday
2378998,Sleigh Ride,2015,This Wild Life,none
6086635,Sleigh Ride,2020,Meghan Trainor,birthday
799623,Sleigh Ride,,America,birthday
4903420,Sleigh Ride,2019,Idina Menzel,birthday
1958891,I Like a Sleighride (Jingle Bells),1960,Peggy Lee,irrelevant
6052142,Sleigh Ride,2020,Gwen Stefani,birthday
4320930,Sleigh Ride Invincibility Star,2011,Joe Hawley,none
1722394,Sleigh Ride,2012,Karmin,none
1952561,Sleigh Ride,2008,KT Tunstall,none
989213,Sleigh Ride,1987,Air Supply,christmas
1614013,Sleigh Ride,2004,Play,none
861109,Sleigh Ride,2002,Hilary Duff,birthday
1932139,Sleigh Ride,2012,The Real Group,none
935829,Sleigh Ride,,Debbie Gibson,birthday
1720334,Sleigh Ride,1998,Chicago,none
665639,Sleigh Ride,1993,"Harry Connick, Jr.",birthday
1756479,Sleigh Ride,,The Tabernacle Choir at Temple Square,none
1990497,Sleigh Ride,2014,"Earth, Wind & Fire",none
1973114,Sleigh Ride,1950,The Andrews Sisters,birthday
811207,Sleigh Ride,2011,She & Him,birthday
4142775,Sleigh Ride,2018,Jayden Bartels,none
4128287,Sleigh Ride,2018,Azealia Banks,none
2007630,Sleigh Ride,2012,August Burns Red,instrumental
834428,Sleigh Ride / Santa Claus’ Party,,Ferrante & Teicher,irrelevant
1416398,Sleigh Ride/Jingle Bells,1994,Diana Ross,none
6326162,Sleigh Ride,2020,Now United,none
1158776,Sleigh Ride,1998,Babyface,birthday
1450196,Sleigh Ride In July,,Julie London,irrelevant
2054456,Sleigh ride,,The Brian Setzer Orchestra,none
9567474,Sleigh Ride,2023,Liz Gillies & Seth MacFarlane,none
2168907,Sleigh Ride,2014,Walk off the Earth,birthday
1604589,Sleigh Ride,1976,The Osmonds,irrelevant
1698642,Siberian Sleigh Ride,2004,Trans-Siberian Orchestra,instrumental
8322693,Sleigh Ride,2022,Lindsey Stirling,instrumental
5108108,Sleigh Ride (Instrumental),,Maury Laws,instrumental
2394240,Sleigh Ride,,MercyMe,none
4268819,Sleigh Ride,2015,Helene Fischer,birthday
6137587,Underneath the Tree (Cutmore Christmas Sleigh Ride Radio Mix),2013,Kelly Clarkson,irrelevant
1555081,Sleigh Ride,2005,Diana Krall,none
1487890,Sleigh Ride,,Vince Gill,none
1016140,Strawberry Sleighride,,Pizzicato Five,irrelevant
1075076,Sleigh Ride,2013,Jewel,none
6193486,Sleigh Ride,2020,Hadestown Original Broadway Cast,none
1119177,Sleigh Ride,2009,Sufjan Stevens,none
1044738,Sleigh Ride,,Vera Lynn,none
2047304,Sleigh Ride,2002,S Club 8,none
3787567,Sleigh Ride,,Ella Fitzgerald,none
1208376,Sleigh Ride In July,,Dinah Shore,irrelevant
6378993,Sleigh Ride,2020,Erica Banks,instrumental
1179940,Sleigh Ride/Winter Wonderland,,Shelby Lynne,none
1343268,Sleigh Ride,,The Partridge Family,birthday
5086152,Sleigh Ride,,Alvin & The Chipmunks,irrelevant
5625154,Sleigh Ride,2005,KIDZ BOP Kids,birthday
1609454,Sleigh Ride,2010,Wilson Phillips,none
1058663,Sleigh Ride,,The Ventures,none
6137592,Underneath the Tree (Cutmore Christmas Sleigh Ride PA Mix),2013,Kelly Clarkson,irrelevant
1310661,Let It Snow! Let It Snow! Let It Snow!/Sleigh Ride,,Point Of Grace,none
1215564,Sleigh Ride,,Billy Gilman,birthday
1965183,Sleigh Ride,1956,Spike Jones,birthday
344554,Sleigh Ride,1999,Garth Brooks,birthday
8582787,Sleigh Ride,2022,American Authors,none
6291814,Sleigh Ride,2012,Thomas Anders,none
2083920,Sleigh Ride,,Ferrante & Teicher,irrelevant
1162466,Sleigh Ride,,Robyn Adele Anderson,none
1750251,Sleigh Ride,2004,Jump5,none
6258781,Sleigh Ride,2020,​the bird and the bee,none
775002,Sleigh Ride,2004,Clay Aiken,birthday
4177567,Sleigh Ride,2011,TVXQ! (동방신기),birthday
4061442,Sleigh Ride,2018,Brett Eldredge,none
4708101,Sleigh Ride,1999,Kenny G,instrumental
1297954,Sleighride,,Jane Monheit,none
8690002,Sleigh Ride (Colin’s Master Mix),1993,TLC,none
3754334,Sleigh Ride,2010,REO Speedwagon,birthday
933949,Sleigh Ride,,Lorrie Morgan,none
6137593,Underneath the Tree (Cutmore Christmas Sleigh Ride Dub),2013,Kelly Clarkson,irrelevant
5000503,Hristos Genate (Sleigh Ride),1998,Katy Garbi,irrelevant
